Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x	
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y iff: x is adjacent to y and for every region r adjacent to x, r overlaps y	
ERROR	multiple_definitions	RO:0002220	IAO:0000115	x adjacent to y if and only if x and y share a boundary.	
ERROR	multiple_definitions	RO:0002220	IAO:0000115	x adjacent_to y iff: x and y share a boundary	
ERROR	multiple_definitions	RO:0002221	IAO:0000115	inverse of surrounded by	
ERROR	multiple_definitions	RO:0002221	IAO:0000115	inverse of surrounded_by	
ERROR	multiple_definitions	RO:0002223	IAO:0000115	Relation between occurrents, shares a start boundary with.	
ERROR	multiple_definitions	RO:0002223	IAO:0000115	inverse of starts with	
ERROR	multiple_definitions	RO:0002229	IAO:0000115	Relation between occurrents, shares an end boundary with.	
ERROR	multiple_definitions	RO:0002229	IAO:0000115	inverse of ends with	
ERROR	multiple_definitions	RO:0002256	IAO:0000115	t1 developmentally_induced_by t2 if there is a process of organ induction (GO:0001759) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor tissue type T to T', where T' develops_from T.	
ERROR	multiple_definitions	RO:0002256	IAO:0000115	t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor anatomical structure type T to T', where T' develops_from T	
ERROR	multiple_definitions	RO:0002373	IAO:0000115	m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.	
ERROR	multiple_definitions	RO:0002373	IAO:0000115	m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.@en	
ERROR	multiple_definitions	RO:0002385	IAO:0000115	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y	
ERROR	multiple_definitions	RO:0002385	IAO:0000115	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y@en	
ERROR	multiple_definitions	RO:0002387	IAO:0000115	x has the potential to develop into y iff x develops into y or if x is capable of developing into y	
ERROR	multiple_definitions	RO:0002387	IAO:0000115	x has the potential to develop into y iff x develops into y or if x is capable of developing into y@en	
ERROR	multiple_definitions	RO:0002388	IAO:0000115	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y	
ERROR	multiple_definitions	RO:0002388	IAO:0000115	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y@en	
ERROR	multiple_definitions	RO:0002473	IAO:0000115	x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.	
ERROR	multiple_definitions	RO:0002473	IAO:0000115	x composed_primarily_of y iff: more than half of the mass of x is made from parts of y	
ERROR	multiple_definitions	RO:0002488	IAO:0000115	Relation between continuant c and occurrent s, such that every instance of c comes into existing during some s.	
ERROR	multiple_definitions	RO:0002488	IAO:0000115	x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).	
ERROR	multiple_definitions	RO:0002489	IAO:0000115	Relation between continuant and occurrent, such that c comes into existence at the start of p.	
ERROR	multiple_definitions	RO:0002489	IAO:0000115	x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).	
ERROR	multiple_definitions	RO:0002492	IAO:0000115	Relation between continuant c and occurrent s, such that every instance of c ceases to exist during some s, if it does not die prematurely.	
ERROR	multiple_definitions	RO:0002492	IAO:0000115	x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).	
ERROR	multiple_definitions	RO:0002493	IAO:0000115	Relation between continuant and occurrent, such that c ceases to exist at the end of p.	
ERROR	multiple_definitions	RO:0002493	IAO:0000115	x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).	
ERROR	multiple_definitions	RO:0002551	IAO:0000115	A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.	
